logFC	logCPM	PValue	FDR	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	EhMyb10_1	EhMyb10_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_047920A	-2.80001310767146	0.69430132829268	0.000418696482368892	0.0248726910349014	5	0	26	16	0.657940985275342	0	2.44441352562537	2.29220265148545	97.51	UP_pEhEx_DOWN_EhMyb10
EHI_032670A	-3.25001063609373	1.43936764590678	0.000447033509981666	0.0262241032792995	6	1	25	47	0.78952918233041	0.130186626686979	2.35039762079363	6.7333452887385	97.38	UP_pEhEx_DOWN_EhMyb10
EHI_044820A	-1.67264453451727	4.31411127778155	0.000458864727388502	0.026585829205361	84	59	238	262	11.0534085526257	7.68101097453177	22.3757853499553	37.5348184180742	97.34	UP_pEhEx_DOWN_EhMyb10
EHI_120650A	2.75194492957517	0.91877754487	0.000518225997572718	0.0296589586171801	19	26	8	0	2.5001757440463	3.38485229386146	0.752127238653961	0	97.03	DOWN_pEhEx_UP_EhMyb10
EHI_138470A	-2.10760011103971	5.90070389894529	0.00054306442966381	0.0307060405832802	206	136	574	973	27.1071685933441	17.7053812294292	53.9651293734217	139.394573743459	96.93	UP_pEhEx_DOWN_EhMyb10
EHI_079890A	-1.64137570953742	2.86635651907659	0.000551358771397279	0.0308038894543742	25	27	92	89	3.28970492637671	3.51503892054844	8.64946324452055	12.7503772488878	96.92	UP_pEhEx_DOWN_EhMyb10
EHI_057550A	1.62379164627488	5.80294120458961	0.000580668343926432	0.0320597239770205	508	777	341	156	66.8468041039747	101.155008935783	32.0594235476251	22.3489758519831	96.79	DOWN_pEhEx_UP_EhMyb10
EHI_188170A	-1.67706626356497	5.37284877882317	0.000646192055263324	0.0352625501784974	116	184	510	542	15.2642308583879	23.9543393104042	47.94811146419	77.6483648190695	96.47	UP_pEhEx_DOWN_EhMyb10
EHI_044610A	-2.94910933343009	1.0066123282994	0.000655632840019472	0.0353664933127745	2	4	19	32	0.263176394110137	0.520746506747916	1.78630219180316	4.58440530297089	96.46	UP_pEhEx_DOWN_EhMyb10
EHI_201200A	-1.43452194461476	4.62344904189652	0.000668698973800185	0.0356614123186849	112	89	324	285	14.7378780701677	11.5866097751411	30.4611531654854	40.8298597295845	96.43	UP_pEhEx_DOWN_EhMyb10
EHI_072640A	-2.56862274311948	0.270600048920962	0.00069525015439746	0.0366607749953627	2	2	19	10	0.263176394110137	0.260373253373958	1.78630219180316	1.4326266571784	96.33	UP_pEhEx_DOWN_EhMyb10
EHI_079930A	1.71953678414524	2.10376394839986	0.000719001134638361	0.0374352923013384	37	59	23	11	4.86876329103753	7.68101097453177	2.16236581113014	1.57588932289624	96.26	DOWN_pEhEx_UP_EhMyb10
EHI_170160A	-3.16251342885062	-0.0392464326435393	0.000725892094485786	0.0374352923013384	1	1	15	8	0.131588197055068	0.130186626686979	1.41023857247618	1.14610132574272	96.26	UP_pEhEx_DOWN_EhMyb10
EHI_006960A	-2.53374616777407	0.893035482161094	0.000756007662064672	0.0385646082398859	6	1	25	22	0.78952918233041	0.130186626686979	2.35039762079363	3.15177864579249	96.14	UP_pEhEx_DOWN_EhMyb10
EHI_127400A	-1.54791617405995	2.25378576086637	0.000803366749598173	0.040539786622196	15	20	77	43	1.97382295582602	2.60373253373958	7.23922467204437	6.16029462586714	95.95	UP_pEhEx_DOWN_EhMyb10
EHI_032780A	-2.09798086779858	2.65818259338858	0.000827558981473657	0.0409661896831181	13	22	63	97	1.71064656171589	2.86410578711354	5.92300200439994	13.8964785746305	95.9	UP_pEhEx_DOWN_EhMyb10
EHI_182550A	-1.89152303845942	4.22083914691476	0.000829275094799961	0.0409661896831181	81	38	220	261	10.6586439614605	4.9470918141052	20.6834990629839	37.3915557523564	95.9	UP_pEhEx_DOWN_EhMyb10
EHI_093840A	-1.74962347263588	1.36099889439831	0.000886826608276962	0.0433528882567061	9	7	35	27	1.18429377349561	0.911306386808854	3.29055666911108	3.86809197438169	95.66	UP_pEhEx_DOWN_EhMyb10
EHI_126860A	-1.63148821087777	3.05977824831354	0.000992714519657153	0.0475451175195848	39	21	120	92	5.13193968514766	2.73391916042656	11.2819085798094	13.1801652460413	95.25	UP_pEhEx_DOWN_EhMyb10
EHI_186950A	-1.32208018822313	4.70387351836476	0.000992844985493141	0.0475451175195848	125	100	376	268	16.4485246318835	13.0186626686979	35.3499802167362	38.3943944123812	95.25	UP_pEhEx_DOWN_EhMyb10
EHI_073540A	2.6487539968867	2.47810906520839	0.00100570188982114	0.0476743330195009	28	114	20	7	3.68446951754191	14.8412754423156	1.8803180966349	1.00283866002488	95.23	DOWN_pEhEx_UP_EhMyb10
EHI_046600A	-1.91230876469294	3.36055559872808	0.00102214830230742	0.0477713254902169	45	19	126	139	5.92146886747808	2.4735459070526	11.8460040087999	19.9135105347798	95.22	UP_pEhEx_DOWN_EhMyb10
EHI_094810A	-2.25746874576226	1.35293913220598	0.00105216278892559	0.0477713254902169	7	5	26	37	0.921117379385478	0.650933133434895	2.44441352562537	5.3007186315601	95.22	UP_pEhEx_DOWN_EhMyb10
EHI_118270A	-2.7031533609316	11.5905850226856	0.00105824452507735	0.0477713254902169	8972	3544	25137	58145	1180.60930397807	461.381404978654	2363.27779975558	8330.00769816383	95.22	UP_pEhEx_DOWN_EhMyb10
EHI_134840A	-1.81241350981255	2.69550405969151	0.00103552819688799	0.0477713254902169	22	20	69	91	2.8949403352115	2.60373253373958	6.48709743339041	13.0369025803235	95.22	UP_pEhEx_DOWN_EhMyb10
EHI_202460A	-1.95446521615728	6.17963112540771	0.00105864433219317	0.0477713254902169	292	160	764	1103	38.42375354008	20.8298602699167	71.8281512914533	158.018720286778	95.22	UP_pEhEx_DOWN_EhMyb10
